Question_title,questions_description,Answer
"It Doesn't Matter If You're Black Or White,",Describe a situation in your life that you considered to have been a life-changing experience. Include any negative or positive variables that were associated with this event. Essay must not exceed two pages in length.,"""Wow,"" I whispered to myself as I walked into the main doorway of my new high school. I walked through the endless hallways and questioned myself as to why my parents decided to move here, Wuerzburg, Germany, one of the alleged bad schools in the area. Why did they force me to leave my friends, home, and some of my best experiences? I had never before in my life seen as many different ethnic faces as I now would every day for the next four years. I acted very apprehensively that first week of school; I mean it's not every day that you meet someone whose father is the principal. What would people think of me? Before in my old school the ethnic majority was white and now, in a matter of one day I had become the minority. I had heard rumors and tales of alleged gangs in my new school. I believed what others had told me and prepared myself for the worst. First looks can be very deceiving. I found this out the hard way. This move was by far one of the best events that had ever taken place in my life. It taught me about ethnic diversity and allowed me to enrich my life with the friendships of different people around me.I entered high school, to put it blatantly, scared. I didn't know what to expect. Would people see me only as the principal's daughter? At first I was labeled as a teacher's pet and a goody two shoes. Of course, I was upset about accusation but I failed to realize that I too stereotyped the faces I saw everyday. I kept a small profile to avoid any confrontation. This was my avoidance tactic. Where I came from before people congregated together as one. Color was not an issue. But here it was the opposite. These oppositions made me not want to do anything that I thought would put me in a position where I would have to defend myself.Slowly I began to realize that moving here to Wuerzburg was actually something that was good. My original view of people and the world was confining. Now, as I walk down the halls I greet everybody with a friendly face. No matter who they are, how they look, or their reputation I befriend them. Playing sports such as volleyball and soccer allowed me to learn new attitudes and ideas from all sorts of people. Currently on my basketball team I am able to experience a whole new world of traditions with a group consisting mostly of African Americans.Being in a school with over 600 students, 50% of them African American and 30% white allows me to communicate with people different than me. The experience has been an enriching one. Who would have ever thought that the once shy freshman was now a person encountering people and attitudes from every part of the globe? In these four years my personality has adjusted and changed into something that allows me to feel comfortable around any person and allows any person to feel comfortable around me. I feel that my personality not only has helped me to broaden my views about people but also has helped others that are still too scared to approach people other than their own race.So far, I know that I am off to a great start. My education and attitude can only get better."
From Negative to Positive (Or Positive to Negative?) The Lurid Confessions of a Member of Teeny Bopper Anonymous,Write on a topic of your choice.,"From Negative to Positive (Or Positive to Negative?) The lurid confessions of a member of Teeny-Bopper AnonymousWow. Wasn't I cool? Since this picture was taken, everything outside of myself - my appearance, my surroundings, even my superficial attitudes about life - has undergone a complete revolution. Contrasting me with that girl in the picture would be like comparing this picture with its negative; everything in this picture is now reversed, inside out.Life started out fairly easy. Before middle school, I did what I wanted to do without regrets. If my friends wanted to do the same, company would be nice; if not, I would have just as much fun alone. Middle school changed things. Suddenly group dynamics became almost political, and social esteem, not self-esteem, became the key to happiness. Seventh grade, the time when this picture was taken, was the peak of social pressure in my life.This picture epitomizes all of the elements that society had labelled as ""important"" for my peers and me, yet it also belies them through subtle clues.For example, while I exude quite smugly what I think is maturity, the menagerie of stuffed animals and the ""cutesy"" picture of kittens are reminders of my immaturity.The picture also reveals the things about myself that I'd thought were hidden away; my veneer of anti-intellectualism is belied by the often-used bookshelf and world map behind me. If I truly believed what I preached, my bookshelf would be tidy from disuse and pictures of some cretin teeny-bopper would adorn my wall.Why do social pressures transform otherwise intelligent, creative children into lemmings? These influences to conform transcend the mere pressure of peers; they come from society as a whole. The media portray ""teens"" with a uniform image that tells them the way they ""should"" be.A young consumer of modern entertainment (TV, movies, recent books) comes to think of the most prevalent image of ""teens"" as the norm.The roles of young women in American culture are even narrower, as delineated by the following three tenets:1. You must be trendy. Following current styles and fads is mandatory.Additionally, the timeless rules still apply: make-up must be worn and legs must be shaven. (A careful observer might note that I am wearing blue (!) eye-shadow and blush and sport a few trendy styles: a hat, curled hair, and a T-shirt replete with pithy sayings.)2. You must keep abreast of current events, not in the world abroad, but in your own parochial world. If you do not know in advance what everyone is wearing on Friday night or who is talking with whom, you are doomed to live alone eternally with only 13 cats for companionship.3. Adults aren't cool. Always scowl in their presence. I was so convinced that I was living the ideal ""teen"" life that I had no time to think about things of true importance. Although I did homework, and did it well, I looked at school assignments as another chore to be done; I may as well tell them what they want to hear and get it over with, instead of actually thinking.Thus, any intellectual activity that I engaged in did not permeate my consciousness. My journal from seventh grade is a continuous recitation of rumors, speculation, and other excerpts from the rather dull soap opera of seventh grade social life: proof that nothing besides this rather large mass of intellectual Spam squooshed around in my trendy blonde head for very long.But then things changed: the advent of New Kids on the Block in eighth grade cleared this banality from my life. New Kids on the Block was an untalented group of kids assembled by a music producer for the express purpose of making money. Not only did I dare to be the only girl in my grade who didn't like them, I dared to despise them. I listened to my music and figured that matters of taste really shouldn't matter to my friends.Wrong! Not only was I isolated from the stimulating debates about which one was cutest, but the giggles I unsuccessfully attempted to stifle certainly didn't add to my popularity. At the time, this isolation upset me greatly, but not enough to make me conform. The social vacuum in my life was replaced by ideas: books, newspapers, schoolwork, and in-class debates on subjects ranging from legalizing drugs to literature.I summarized my feelings in my journal on November 29, 1989 when I wrote, ""Let them laugh! I'd rather be an original nerd than a conformist follower.""So it was that a little less than a year after this picture was taken, its negative became closer to the truth; prominent lemming-like qualities faded into the shadows while hints of originality and intellect, previously buried in darkness, became illuminated."
Most Influential Teacher,"Topic: Indicate a person who has had a significant influence on you, and describe that influence.","She was the toughest; she was the best. She was also the most influential teacher I have ever had. Ms. William, my sixth grade teacher, was never one to settle for second-best. As a demanding teacher, she hadn’t always been popular. In fact, my classmates and I used to grumble frequently about her stringent standards. However, by continually challenging us, Ms. William instilled in us an enduring passion for learning.I remember my first day in her class. While most teachers started the year with fun activities, Ms. William jumped straight into academics. After taking the attendance, she promptly started our first unit: Forces.She narrated to us the story of Newton and the apple tree, and asked us why things always fell toward the Earth. She asked us many other questions – questions about natural phenomena that I had never thought about before. “Why do we see lightning before we hear thunder? How can we measure the speed of a falling object?” We learnt never to take things for granted. “Always, always, always question what you see. Do you understand why it happens?”At first, I had a hard time understanding many of the concepts, and often stayed after class to learn more. Once, when I doubted that objects of different mass fell with the same acceleration, Ms. William and I conducted our own experiment with a pendulum to prove the theory. Throughout the year, whenever there was a concept or theory I did not understand, Ms. William would encourage me to research or carry out an experiment by myself. Under her guidance, I entered In doing so, she not only taught me to become inquisitive about the world, and also gave me the tools to explore it.Another gift that Ms. William gave me was an appreciation of literature. Before I met her, I had always stubbornly rejected as true literature any book that was not written by Enid Blyton. To me, there was nothing that could be better than the adventures of the Famous Five. But as the list of Enid Blyton “To Read” books grew shorter, I started hunting around for other novels to entertain me. I decided to take a look at the Reading List Ms. William had compiled. I still remember picking up Oliver Twist from the library shelf and looking at it skeptically. Today, I’m glad I had listened to Ms. William, for she not only introduced me to the world of Oliver and Fagin, but also that of Huckleberry Finn, Uncle Tom, the BFG, Lucy, Edmund, Susan and Peter. I remember coming to school early one morning, hardly able to contain my excitement, to tell Ms. William that I had finally finished all the books on her Reading List. She smiled in her usual way, and promptly gave me a second List.Although it’s been six years since I last saw Ms. William, her legacy lives on even today. Every time I read a particularly interesting book, I’d record it in my Reading List. My hope is to one day visit her, and to show her my new Reading Lists. I want her to know how much she has helped me to grow, and how much she has inspired me.Canadian poet and essayist Irving Layton wrote in his essay The Role of the Teacher that “It is usually from a gifted teacher that a child catches his first glimpse of harmony or wisdom and gets his first hint of the intellectual adventure which may engage him for the rest of his life.”Ms. William was that teacher for me."
"Understanding Myself, Just a Little Better","''Stereotyped beliefs have the power to become self-fulfilling prophesies for behavior.''Elizabeth Aries, Professor of Psychology, Amherst CollegeFrom her book Men and Women in Interaction, Reconsidering the Differences","Shouting, tantrums, chiding, infuriation; I scuttled back into my room and slammed the door to defy my parents exhortations and advice. What followed was the sulking and tears, complete with the customary introspection. I fashioned the introspection to my own convenience with the use of platitudinal notions; I was a teenager whom they did not understand because of the generation gap. After wallowing in some more self pity and tears, the big bag of chips and songs hosting themes of ‘isolation’, ‘angst’ and ‘ignorance’ seemed necessary. In attempt to stop the self-generated profuse tears, I tried some motivational talk which ended in consolation that it was okay to cry since I was a girl.It had been a while since I had faced this situation.Or rather, created it. Not that the short-lived introspection had helped sufficiently, it was more the effect of long drawn rumination. This was such a generic scenario. Emotions were supposed to be so individual, so personal yet this may as well have been the story of every teenager. Why were we all so similar?No we weren’t; We were impelled to act similarly, to direct our thoughts in a certain way. It is actually expected that we didn’t understand our parents and choose to seek distance from them. Our parents had never chosen to question our retaliation. The talk about generation gap, teenage angst and empathetic music had buzzed so prevalently in our heads that it had become a part of us.Then what about the 17 year old farmer’s daughter in Vietnam whose mother discussed her innermost sentiments while tying her hair into braids every evening? The gap in generation exists over there as well but where are the displays of defiance and being ‘emo’ which has conventionally become accepted in liberal societies? They are non-existent because we have aggravated these behavior patterns. I wondered whether man had steeped so deeply in stereotypes that it eclipsed his own personality or independence in behavior.After all, every one of my actions on that day seemed ascribable to a stereotype. My recourse to junk food - the notion of comfort food. The music and self-pity was a ramification of the thought that my parents always insisted on overlooking my wishes. And finally, being a girl who is often looked upon as emotional and docile somehow legitimized more tears.So does that mean psychological studies should not be exposed neither should characteristics be discussed because the very study will transcend into a belief and make it true? No it should, because understanding the very cause of our behavior helps to eradicate undesirable characteristics that our extrinsic to our own personality. I know because now that I understand this, I am able to look at stereotypes more objectively and act in a way that isolates their effect from my behavior. After imbibing that thought process, I have become more rational, disciplined, individualistic and possess more control over my emotions.On the flipside, some stereotypes actually benefit us, like the stereotype that one’s race is good at sports. In that case, by treating the stereotype objectively, one can ensure that there is a self-enforcing benefit. Essentially, understanding the causes of our behavior enables more control over our thoughts and actions."
Disparity Through My Windows,"2. Discuss some issue of personal, local, national, or international concern and its importance to you.","The colors through the window become inconsequential, only the forms and their faces significant. Through the window of my hometown Kolkata, India I see a half naked child running around on the street. His face depicts childish levity and frolic but the swell of his belly betrays the daily struggle facing him. It speaks of abject poverty, of a hand to mouth existence where life constitutes begging or odd jobs to satisfy one’s basic physiological necessities. In contrariety, when I observe children of the same age in Singapore, the city where I have lived for the past 15 years, I see the same naïve smile, cherishing moments spent on one of his three pairs of roller blades.For me, this is one of the world’s biggest tragedies: unbearable starvation leads to death in one place and affluence necessitates the limitless squandering of money in another. In simple terms this is inequality, in economic terms, inequality of wealth and income distribution. The power of this term is in the fact that it highlights a multitude of underlying causes leading to this gap and the beauty of its solution is that it can be addressed at any level by absolutely anyone.Inequality in income distribution is taking place due to a number of reasons. On a global scale, it is taking place because of preferential terms of trade and multi-national companies exploiting wage differentials due to which developing countries are not paid what the good or labour would be worth in a developed country. Within a country, the capital is in the hands of the rich and when they utilize it, the profits benefit only the rich, thus, never alleviating the poor from there deplorable condition. Illiteracy is one of the major causes of inequal income distribution because without education it is very difficult for people working in the primary sector or performing blue collar labour to improve their standard of living.Inevitably, its solution would entail large scale governmental policies like progressive taxation and social benefits in addition to intervention by the WTO or IMF but every individual can play a part by simply donating small sums of money or uneaten food in their household to the soup kitchen. This situation manifests how every movement towards change starts from the grassroots level. Indeed, it is imperative that people understand this crisis and influence some redress because if an economic policies to encourage the same are implemented, they need to possess the support of the middle and affluent class.When recently elected U.S. president Barack Obama spoke about wealth distribution in his presidential campaign, I stood up from my couch and applauded this sentiment. In fact, if the divide lessens, a lot of related factors will change. Crime rate and poverty levels will reduce, and health care for the lower class will improve.Human rights have been integrated into the ideology of most countries as this is a basic pre-requisite for the development and advancement of the country. Using the same line of argument, do human rights not encompass the ‘right to life’ and ‘right to food’? The amalgamation between my cultural background and country of residence impels me to dwell on this problem and provide my contribution. When I volunteer at the Missionary of Charity Kolkata founded by Mother Teresa for a month every year, serving food and distributing clothes to the underprivileged gives me immense satisfaction.I do not deny that there are a number of causes for unequal income distribution but they have to be eradicated, one at a time. One day, when I go back to my hometown or to any other neighborhood where there had been relative or absolute poverty, I do not want to see the ache in the eyes of the poor that I see now; I wish to see satisfaction, well-sustained satisfaction."
Having a Ball in Europe,Write about an event or experience that has deeply affected your development as a person.,"On a summer vacation with my family last year, my first experience of independence in Italy was of almost being arrested. My parents had decided that they wanted to go to Europe for our annual summer trip. Since I had studied Latin for three years, I told them that I wanted to go to Rome. They agreed, and we packed our bags for a trip to Italy. The only problem was that once we got to Rome, two of those bags were missing. We found one, but the other was nowhere to be seen. While my parents were talking to an official at the desk, who happened to know English, I was sent off into the separate baggage claim room to see if our missing bag had arrived yet. On the way back to meet my parents, I was stopped by a policeman who had a very large dog and a gun. He asked to see my passport, which my parents were carrying. I tried to explain this fact, but he didn't seem to understand. He then asked, in English, ""Are you a hash dealer?"" It was a surprising question, but I calmly responded, ""No."" ""So you just smoke hash sometimes,"" was his response. Beginning to get disturbed, I responded again, ""No."" His third question was more of a statement, ""So you just smoke cigarettes."" Not being a smoker, I again responded, ""No."" He went back to the first question. He tried to get me to go into the room that I'm guessing was some sort of interrogation room, but I managed to get him to come over to my parents. He asked, ""Is this your baby,"" seeming unaware of the fact that I was sixteen and had just managed to keep cool in front of a man carrying a large gun and whose dog's size implied that it was part German shepherd and part horse. Thankfully, my parents responded, ""Yes,"" and showed the guard our passports. Seeming not the least bit apologetic and perhaps a bit disappointed at not arresting a new felon, the officer said, ""Bene,"" and walked away. So began my trip to the cradle of civilization.So much of that trip passed in a hurry. The Coliseum, the Roman Forum, and the great fortress of the Vatican all passed by in such a short time. I had really wanted to see the ruins of the civilization that I have learned about in my Latin class, and this trip gave me the chance. Only about fifteen miles from Rome sits Ostia Antica, an ancient city that is much like the Roman Forum except about a hundred times larger and devoid of people. I saw Pompeii, a city I had studied for a full year in a textbook filled with cartoons. Mt. Vesuvius on the horizon behind the city looked just like the pictures in my book. I recognized the things I had studied, and had a chance to see firsthand what had largely been in my imagination.It was the freedom I had that set this trip apart. I have been on many trips outside of the United States with my parents and three to Europe before this one. They had never let me wander off in foreign cities before. I found it exhilarating to roam through the streets of Rome near our apartment at night, and to explore the foreign villages we stayed at in the countryside. In some of the places we visited, my parents gave me the camera and let me stray off for a while, taking pictures they wouldn't have, such as one of an ancient Roman mosaic in Pompeii of the birth of Venus, or a panorama of Rome. I did spend most of my time with my parents, but the freedom was something new.Our last four days were spent in Paris. The last night was July thirteenth, the night before Bastille Day, and the night when the entire city of Paris turns into one large party, called the Bal. While my parents slept in our hotel on the Ile St. Louis, near the center of the city, I walked a few kilometers to the Tullieries gardens and around the winding streets of the city. I went to the banks of the Seine, where masses of people were dancing and listening to music played over huge speakers. On the way I watched dancers and drummers on a bridge and visited another bridge that had been converted into a food court and a stage for live music. I spent my last hours in Paris among people whose language I didn't know, awed by the revelry that lasted deep into the night.The next day we left for home. I had loved our trip instead of counting the days until it ended, as I had when I was younger. That was due to my visiting places I had dreamed of seeing, and my newfound freedom. Next year chances are I will live in a city far from my home in Oakland, California, and my family. I know now that I'll be ready to learn from that place and my new situation, and to have fun on my own. All of these events, from the accusing guard at the Rome airport to my walk through Paris at night, have shown me that I can adapt to new situations on my own, and appreciate them for myself."
Challenges of the New Millennium,What are some of the challenges facing the world at the dawn of the new millennium?,"The advent of the year 2000 signifies a new world of hope and challenges for our country and the planet. With developments in technology such as the Internet, the world is coming closer together than ever. It is vital for the survival of our planet that we become more tolerant and understanding of other cultures so that we can work together for the benefit of future generations. During the past century, two World Wars and countless smaller struggles have decimated nearly every part of the planet. Today, too many countries and specific ethnic groups are involved in conflicts across the globe which are causing incredible violence and death. This makes it imperative that we teach the values of tolerance, diversity, and cooperation to our children.Unfortunately, many people (especially teenagers) are very apathetic when it comes to global issues. When most people my age watch the evening news, they often feel very removed from the international situations and issues that are presented. The drug war in Colombia, Indonesian political crisis and solar eclipse in Rumania hold no personal significance or even interest for most teenagers. For me, however, these events are more than just images on a television screen. Through an organization called Children's International Summer Villages (CISV), I have developed close friendships with people from all of these countries and many more. CISV is a non-profit, international, educational organization that operates in over eighty nations. Its purpose is to foster cross-cultural friendship and understanding for people of all ages.When I was eleven years old, I traveled with a delegation of three other children and an adult leader to Munich, Germany, to participate in what is known as a Village. Living with other children from twelve different countries for a month was an experience that completely changed my view of life. I gained a different perspective on what it means to be a member of a world community and formed extremely close friendships with many people who did not speak English.I continued participating in local CISV activities and have attended three National Board Meetings for the organization in Cincinnati. When I was thirteen I traveled to a camp in Washington, D.C. I went to Detroit as a counselor for eleven-year-olds when I was sixteen, and this past summer I flew to Finland for three weeks to be part of a Seminar Camp. Created for seventeen- to nineteen-year-olds from twenty different nations, this event was the best experience I've had. At the beginning of the Seminar Camp, the participants had to decide as a group what we wanted to get out of our time together and what sort of focus the camp should have. As a participant, I was involved in planning each day's activities, which ranged from serious discussions of current events to intricate role-playing games and trips around Helsinki. Problems were discussed and solved in 'open meetings', which were similar to the Quaker Meetings for Business at my school. The skills of compromise, creative problem-solving and respect I have learned throughout my years at a Quaker institution were very useful to me.Despite the different cultures and perspectives each person brought to the group, what we discovered as a result of our time together was that we were all fundamentally very similar. If these skills and experiences could be passed on to the global leaders of tomorrow, I believe that we would have more peaceful and successful resolutions to world conflicts.One simulation we created had the delegates pretending to be refugees waiting to pass through immigration. As with every activity at our Seminar Camp, this simulation was followed by an in-depth discussion during which we each shared our individual experiences and perspectives on the subject. I was amazed to learn just how powerful my United States passport really was. Several people had experienced discrimination and mistreatment while trying to obtain visas or participate in CISV camps. One friend from Brazil had been held in a foreign airport for two days solely because of his nationality, and another had been detained because of his 'suspicious' appearance. One delegate from Lebanon told of being kidnapped during that country's civil war. The realization of how much easier my life is because I was lucky enough to be born in America really hit me. I believe that the democratic values and human rights we enjoy in this country should be fundamental to every nation.At the end of July, I returned home with more than just photographs and Finnish souvenirs. In a remarkably short amount of time, I had become more independent, self-sufficient, and knowledgeable about the world and its inhabitants. My international experiences with CISV, through which I have learned skills of cooperation, trust, and tolerance, have truly given me global perspective. Hopefully, I will be able to further these talents at college and use them in the future to enable others to achieve the sense of world community that I have found. I am committed to making the CISV experience available to as many people as possible in every country. Because of CISV, I was inspired to take a strong interest in foreign languages, so that I would be better able to communicate with my international friends. Currently, I am learning French, Spanish and Welsh, and hope to branch out further in college. This is very important to me, because I believe that understanding our similarities and differences is the only way in which the human race will survive and prosper in the coming millennium."
The Power of Diversity,"A range of academic interests, personal perspectives, and life experiences adds much to the educational mix. Given your personal background, describe an experience that illustrates what you would bring to the diversity in a college community, or an encounter that demonstrated the importance of diversity to you.","The doorbell rang incessantly. The rest of the NASA Sharpies (as we like to call ourselves) and I in the room looked at each other in confusion - the door was already wide open. Glancing over, we saw Kennedy walk in with a curious look on his face. ""Why does it make that sound when I press that?"" he asked us. We all responded by letting out a heartfelt chuckle. I explained to him that pressing that little button is usually used to signal to the residents living inside that there is a visitor waiting to be greeted. ""Ah, that's tight!"" he replied while smiling. He had never seen such a device in his hometown of Tafuna, American Samoa. Although it may have seemed to be just a trivial difference in the two cultures, it was one of many moments at NASA SHARP that allowed me to experience firsthand the richness of diversity.Twenty of us flew into LAX, everyone from a different part of the United States or one of its outlying territories. The first night, we played a game where each of us was asked questions ranging from favorite sports teams to professional goals. I participated intently in the game, asking as many questions as I could to learn more about everyone. It became quite clear that although there were differences in our backgrounds and ethnicities, we had many interests in common. I began to realize that the disparities between us were not barriers but catalysts for meaningful interaction.I learned something different from each sharpie. Fozoh taught me how to solve a Rubik's cube. Tiffany lent me some CDs that they listened to down in Mobile (properly pronounced ""Mobeeeele""), Alabama. Andrea described life on a Navajo reservation and debunked many myths that I had. Kennedy told stories of how he could string thirty coconuts together back in Samoa. Jasmine even allowed me to try one of her special Puerto Rican fruits. I, personally, cooked authentic Chinese fried rice for the others and explained many times that we say ""pop"" instead of ""soda"" in the Midwest.Together, we would often stay up at late at night. Over chips and salsa, we discussed issues that we felt were pertinent. My views often clashed with others' as we debated topics ranging from politics to movies. It was lighthearted and fun at the time, but now I look back with a sense of nostalgia. The environment that existed at NASA SHARP broadened my point of view and made me reevaluate my stance on certain issues. The beauty of our differences is that it allows us to have such different perspectives and intellectually stimulate others.Over the eight weeks, I developed a deep respect for the eclectic community that surrounded me. Coming from a homogenous suburb in the Midwest, I was in awe as we bonded. It is this desire to connect that I hope to bring to Yale - perhaps not by cooking fried rice for everyone, but by having an open mind and an avid determination to embrace the power of diversity."
A Night at the Fifth Avenue,"Pick a topic of your own choosing that will give you the opportunity to express to us a sense of how you think, what issues and ideas are most important to you, and a sense of your personal philosophy, traits, goals, etc.","Midnight was two hours old before I could finally peel out of my costume. The prosthetic nose and glue-on beard tore at my skin as I tugged them off, and they quickly joined the clutter on the bathroom floor: a tired pile of mismatched robes, rags, and a decrepit old wig. I stood in my boxers and scrubbed at the layers of pasty make-up until forty years were washed down the sink, until finally a look in the mirror revealed my own face, clean and raw. It was the first time in the last six hours that I had confronted a reflection that told the truth. My own face.The disjointed memory of a vibrant evening began to tickle my mind, whizzing around my brain like an insect trapped in a jar. Everything that evening had felt somehow monumental. A sea of people, and a white blaze that consumed my vision as I stood on that enormous stage. There was the elaborate music cue; the song performed in the violent shine of a spotlight; the applause that seemed almost too thick; and finally the award, handed to me by that black-bedecked woman. I remembered the podium and the clutter of notes that the announcer had left there. I remembered saying ""thank you"" into the microphone, and wishing I could think of something else to say. Seattle's premier professional theater, The Fifth Avenue, and I was performing on its stage. I had never experienced a night that felt so much like it was going to burst. So full of . Yet even as the evening's events recycled through my mind, I felt something prick at my consciousness. I had to know, what did it all mean?There is something warm about applause. About an award. It says that you're appreciated, that you did your job. It is the naked patter of rain or the damp roar of a waterfall, and it sneaks up your spine and tickles the back of your neck. Yet as the evening moved on, each hour felt saturated with it. Brian the Actor. Brian the Actor. Brian the Actor. A strange contradiction began to swim in my stomach. On the one hand, the smiles and cheers. On the other, something deeper. Something inescapable. Beyond the lights and laud, there is a satisfaction in theater that resonates with my core. Something intense.Theater is fundamentally human, and sublimely ancient. It is the seed of religion itself; it is deeply spiritual. A heightened state of mind. You are at once yourself, and someone entirely unlike yourself. You forge a vibrant connection with the audience in a tacit and beautiful chemistry that cannot be grasped, but is always felt.Theater is a process, not an event. For the actor as an individual, it's an internal struggle: finding the meaning as it exists between the character and yourself. Then, as it exists between your performance and those who are watching you perform. It's entering into a focus and dimension that is like space or infinity-that ineffable high that has a meaning of its own. It's sucking the marrow out of each word so that it becomes your own, imbued with life and meaning. It's the research, the internalization, and the assumption of another being. It's finding authenticity in a reality that's made up.A performance lasts a night, and lingers only in mind and memory, but the achievement of theater is permanent. Transformative. It's searching a new depth with every role in order to attain a greater height. It's finding something in yourself that can only be discovered by being someone else.This is theater. And the byproduct of this personal achievement is extraordinary: to be on a stage, and to captivate. To go deep, and perplex reality with what is unfolding under the stage lights. To eradicate the world as it exists outside the four walls of a darkened room.Then there's the byproduct of applause. Brian the Actor. Brian the sixty-year-old pickpocket. And now, standing amidst the molted remains of that knavish old man, Brian the seventeen-year-old high school kid. Brian, standing in his boxers in front of his bathroom mirror after a very long night, with school in the morning."
The Listening Party,"Personal essay that will help us to know you better. Families, intellectual and extracurricular interests, school and community events, people who have influenced, significant experiences, personal aspirations, or anything that pops into your head.","My brother lives in a ""gated community,"" one of those manufactured neighborhoods. It was like we were driving through the streets of a toy city, a miniature suburb built for the amusement of a god-sized obsessive compulsive. I myself was steering the matchbox car, a massive and ancient gray truck I borrowed from my dad, and my girlfriend Alexis occupied the passenger's seat. Clone after architectural clone, we watched the houses float by the truck's windows. We were headed to our very first Listening Party.I really didn't know what to expect. My ""brother"" Keith is actually my half-brother--Dad's first marriage--and quite a bit older than I. He's very intelligent and congenial, albeit occasionally unpredictable, and good looking for someone in his late thirties. He's just the sort of older sibling to suggest a vague ""listening party"" in the middle of the school week and actually inspire me to come. Plus, his friend Astrid was going to be there. She's ""hip."" I'm not certain what that means, but if someone were ""hip,"" it would be Astrid. (She and Keith met in a health food store-he sells aged garlic extract and she's going to be a naturopathic doctor-and they've been good friends ever since.) Tall and unconventionally beautiful, she made a vivid impression on Alexis and me the first time we all met. We both looked forward to a rendezvous with her and Keith again.We're an unlikely group of friends, I'll admit. Alexis, a freshman at the University of Washington, is...well, how does one describe Alexis? Long, reddish brown hair and a clever smile. Musical prodigy and a black belt in Tae Kwon Do. A girl of her own style. As for me, I'm an academic type still in his senior year of high school who has a knack for theater but hates being labeled an actor. I can balance a picnic table bench on my chin. I'm composedly quirky.You've met Keith and Astrid.As a group, we span twenty years from oldest to youngest and yet we connect on a level of common understanding. We click.So that brings us back to the listening party. Let me set the stage:His living room is clean, comfortable, and open, with windows on two sides overlooking the neighborhood. There's a gas fireplace and an elegant coffee table. Not opulent, but nice. After we had all taken up a station on the couch or one of the armchairs, Keith dimmed the lights. The mood was set with the mysterious glow of a few candles; the atmosphere was decidedly rich. The final step was adding the music.Turn by turn, we filled the evening with melody, with rhythm. With chords and memories. Now and then, one of us would dispatch a story: ""the first time I heard this song..."" Or we'd talk about the way the music made us feel, why it was effective. The mood in the air became warm, reminiscent, thick, electric, inspired, deep, deeper, and intricate. We shared ourselves through our appreciation of good music. Time flew.And as the evening finally drew to a close, (""We have to get going-school tomorrow"") I knew it had been time well spent. Time away from work and obligations. Time with good friends, good music, good conversation, and a feeling like something glowing in the atmosphere. We drove back down the street, now befallen with night, and headed home."
